,Canal_id,year,Canal_name,Sample_water_point,TEMP. (oC),  pH,DO (mg/l),H2S (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),TKN (mg/l),NH3N (mg/l),NO2 (mg/l),NO3 (mg/l),T-P (mg/l),T.Coliform (col/100ml),Sample_water_point (EN),Canal_name (EN)
441,513,2562,คลองบางเขน,ข้างทัณฑสถานบางเขน,29.08,7.03,1.08,0.07,9.83,51.17,23.33,6.95,3.81,0.04,1.17,1.01,9.43E+11,Next to Bang Khen Correctional Institution,Khlong Bang Khen
442,514,2562,คลองบางเขน,ชุมชนบางบัว,29.08,7.11,1.74,0.02,8.92,53.67,15.75,8.08,4.30,0.02,1.23,0.87,7.06E+10,Bang Bua Community,Khlong Bang Khen
443,515,2562,คลองบางเขน,ใกล้โรงงานปรับปรุงคุณภาพน้ำบางบัว,29.08,7.14,2.01,0.03,9.67,53.92,24.33,8.49,4.52,0.01,1.23,0.93,1.01E+10,Near the Bang Bua water quality improvement factory.,Khlong Bang Khen
444,516,2562,คลองบางเขนใหม่,ถนนพิบูลย์สงคราม,29.08,7.15,1.40,0.18,11.25,61.33,16.67,7.15,4.28,0.02,1.87,0.87,3.70E+10,Phibunsongkram Road,Khlong Bang Khen Mai
445,521,2562,คลองบางยี่ขัน,วัดพระศิริไอยสวรรค์,29.33,6.90,1.25,0.05,12.08,65.67,13.83,5.84,3.50,0.20,1.79,0.78,4.71E+13,Wat Phra Siri Aiya Sawan,Khlong Bang Yi Khan
446,522,2562,คลองบางยี่ขัน,ถนนจรัญสนิทวงค์,29.33,6.95,0.78,0.19,13.50,63.33,12.50,6.35,3.78,0.22,2.03,0.88,1.01E+14,Charansanitwong Road,Khlong Bang Yi Khan
447,523,2562,คลองบางยี่ขัน,ซอยบรมราชชนนี  2,29.33,6.98,0.68,0.25,13.67,63.92,8.58,7.17,4.11,0.21,1.42,0.74,8.52E+12,Soi Borommaratchachonnani 2,Khlong Bang Yi Khan
448,531,2562,คลองบางจาก,วัดเปาว์โลหิต (เขตบางพลัด),29.33,7.02,0.00,0.23,22.92,76.58,6.08,11.43,6.72,0.04,1.16,1.23,3.29E+14,Wat Pao Lohit (Bang Phlat District),Khlong Bang Chak
449,541,2562,คลองบางพลู,วัดภาณุรังสี,29.33,7.03,1.38,0.06,11.00,57.83,7.58,6.53,4.20,0.23,1.78,0.65,2.24E+14,Phanurangsi Temple,Khlong Bang Phlu
450,551,2562,คลองบางพลัด,ถนนจรัญสนิทวงค์,29.33,7.08,0.93,0.06,9.42,55.58,13.17,5.68,3.19,0.12,1.53,0.70,5.07E+12,Charansanitwong Road,Khlong Bang Phlat
451,561,2562,คลองพระครู,ถนนจรัญสนิทวงค์,29.33,7.09,2.28,0.03,8.75,50.50,10.42,3.97,2.05,0.23,2.27,0.45,2.17E+13,Charansanitwong Road,Khlong Phrakru
452,571,2562,คลองบางโพ,สน. บางโพ,29.08,6.97,0.83,0.89,13.08,67.08,11.42,8.21,4.85,0.12,2.13,0.97,3.97E+13,Bang Pho Police Station,Khlong Bang Pho
453,572,2562,คลองบางโพ,ถนนประชาราษฏร์สาย 1,29.08,7.00,0.69,0.63,17.92,72.08,13.00,8.68,4.12,0.05,2.13,0.99,1.16E+12,Pracharat Sai 1 Road,Khlong Bang Pho
454,581,2562,คลองหลุมไผ่,ถนนลาดปลาเค้า,29.00,7.07,0.18,0.12,15.17,63.50,18.58,12.88,7.92,0.21,1.97,1.53,1.86E+14,Lat Pla Khao Road,Khlong Lum Phai
455,582,2562,คลองหลุมไผ่,ซ. ลาดปลาเค้า 47,29.00,7.14,0.23,0.15,14.08,56.00,11.00,13.58,7.53,0.20,2.08,1.51,1.07E+14,Soi Lat Pla Khao 47,Khlong Lum Phai
456,591,2562,คลองกุ่ม,หมู่บ้านสหกรณ์ (ซ.28),29.00,7.30,0.05,0.20,32.92,93.58,27.67,24.41,16.42,0.01,2.91,2.39,2.26E+16,Cooperative Village (Soi 28),Khlong Kum
457,592,2562,คลองกุ่ม,ถ. สุขาภิบาล 2,29.00,7.32,0.23,0.17,17.67,74.50,19.67,14.23,8.28,0.00,1.73,1.53,2.03E+16,Sukhaphiban 2 Rd.,Khlong Kum
458,601,2562,คลองพังพวย,ถ. สุขาภิบาล 1,29.00,7.29,0.19,0.16,18.50,60.92,11.25,12.33,7.51,0.00,1.71,1.46,2.42E+12,Sukhapiban Rd. 1,Khlong Phang Phuai
459,602,2562,คลองพังพวย,หลังแฟลตคลองจั่น ซ.57,29.00,7.65,5.03,0.00,14.75,58.83,16.50,9.38,4.80,0.26,1.88,1.32,1.66E+12,"Behind Khlong Chan Flats, Soi 57",Khlong Phang Phuai
460,611,2562,คลองเตย,ปตร. คลองเตย,29.00,7.19,0.00,0.66,31.83,88.08,19.00,16.82,11.40,0.03,2.23,1.68,4.99E+15,Khlong Toei Police Station,Khlong Toei
461,612,2562,คลองเตย,อาคารทวิช,29.00,7.13,0.00,0.83,42.42,106.42,24.33,22.78,14.86,0.04,2.63,2.02,4.59E+15,Twitch Building,Khlong Toei
462,621,2562,คลองวัดดอน,ซ. เจริญกรุง 57,29.00,7.03,0.51,0.73,28.75,83.00,11.75,12.05,8.26,0.07,1.76,1.21,2.44E+15,Soi Charoen Krung 57,Khlong Wat Don
463,631,2562,คลองต้นไทร,ถ. เจริญนคร 17,28.50,7.28,1.03,0.03,11.17,61.83,12.92,6.63,4.64,0.22,1.79,0.75,2.07E+12,Charoen Nakhon Rd. 17,Khlong Ton Sai
464,641,2562,คลองวัดทองเพลง,วัดทองเพลง,28.50,7.26,2.07,0.03,11.25,62.00,19.00,7.48,3.76,0.28,2.05,0.87,6.24E+11,Wat Thong Phleng,Khlong Wat Thong Phleng
465,642,2562,คลองวัดทองเพลง,ถนนเจริญนคร,28.50,7.27,2.02,0.03,11.17,60.83,16.83,7.94,4.14,0.31,2.19,1.45,4.80E+11,Charoen Nakhon Road,Khlong Wat Thong Phleng
466,651,2562,คลองหัวลำโพง,หน้าเขตคลองเตย,29.00,7.18,0.00,1.05,32.08,87.25,28.58,17.33,10.98,0.05,2.28,1.85,5.55E+15,In front of Khlong Toei District,Khlong Hua Lamphong
467,661,2562,คลองกรวย,ซ. เจริญกรุง 71,29.00,6.98,1.23,0.08,17.75,75.17,22.42,11.58,5.78,0.31,1.93,1.35,2.42E+15,Soi Charoen Krung 71,Khlong Kruai
468,671,2562,คลองด่าน,ถนนเทอดไทย,28.75,6.98,2.26,0.00,5.42,47.42,15.92,5.42,1.87,0.19,1.61,0.56,2.62E+10,Theot Thai Road,Khlong Dan
469,672,2562,คลองด่าน,ท่าน้ำวัดนางนองวรวิหาร (ถ.วุฒากาศ),28.75,7.07,2.19,0.00,5.42,47.42,13.75,3.64,1.53,0.21,1.38,0.59,4.67E+10,Wat Nang Nong Worawihan Pier (Wutthakat Road),Khlong Dan
470,691,2562,คลองลาดยาว,ถนนวิภาวดีรังสิต,29.25,7.16,0.19,0.65,37.42,105.33,15.33,18.30,11.67,0.01,2.14,1.77,2.00E+121,Vibhavadi Rangsit Road,Khlong Lat Yao
471,692,2562,คลองลาดยาว,ถนนรัชดาภิเษก,29.25,7.20,0.45,0.26,24.58,80.25,16.25,15.67,9.21,0.00,1.78,1.16,1.38E+16,Ratchadaphisek Road,Khlong Lat Yao
472,701,2562,คลองพญาเวิก,ถนนลาดพร้าว (ซอยลาดพร้าว 5/1) ,29.25,7.25,0.38,0.40,20.83,73.50,9.83,15.69,10.88,0.04,1.59,1.18,1.12E+14,Lat Phrao Road (Soi Lat Phrao 5/1) ,Khlong Phaya Wek
473,711,2562,คลองน้ำแก้ว,ถนนลาดพร้าว (ซอยลาดพร้าว 35) ,29.25,7.33,0.96,0.33,15.75,61.83,11.25,13.16,7.47,0.03,1.30,1.08,3.01E+14,Lat Phrao Road (Soi Lat Phrao 35) ,Khlong Nam Kaew
474,712,2562,คลองน้ำแก้ว,ถนนรัชดาภิเษก,29.25,7.34,1.49,0.21,20.42,77.92,15.75,11.90,6.41,0.02,1.50,1.31,6.10E+12,Ratchadaphisek Road,Khlong Nam Kaew
475,721,2562,คลองสวนหลวง 1,ถนนพระราม 1 (แยกเจริญผล),28.50,7.12,0.00,0.64,52.50,126.50,32.83,24.49,16.20,0.00,2.68,2.24,2.87E+17,Rama 1 Road (Charoen Phon Intersection),Khlong Suan Luang 1
476,722,2562,คลองสวนหลวง 1,ถนนเจริญเมือง,28.50,7.11,0.17,0.41,43.83,113.08,19.50,22.97,15.18,0.00,2.58,1.92,4.25E+17,Charoen Mueang Road,Khlong Suan Luang 1
477,741,2562,คลองบางกระบือ,ถนนสามเสน (บริษัท บุญรอด บิวเวอรี่),29.42,7.23,2.71,0.01,8.08,57.25,42.08,5.83,2.85,0.28,2.68,1.02,3.95E+13,Samsen Road (Boon Rawd Brewery Company),Bang Krabue Canal
478,751,2562,คลองนาซอง,ถนนประชาสงเคราะห์ (ซอยพาณิชจำนงค์),29.08,7.24,0.07,0.75,41.42,109.58,17.50,19.18,13.51,0.05,2.28,1.88,4.71E+15,Pracha Songkhro Road (Soi Phanitchamnong),Na Song Canal
479,752,2562,คลองนาซอง,ถนนพระราม 9 (สถานีสูบน้ำนาซอง),29.08,7.20,0.05,1.55,41.25,108.92,13.50,20.06,15.36,0.05,2.36,1.51,1.01E+16,Rama 9 Road (Nasong Pumping Station),Na Song Canal
480,761,2562,คลองบางสะแก,ถนนเทอดไทย (สะพานเทศบาล 11),28.75,7.12,0.60,0.28,17.58,73.83,7.83,6.67,3.19,0.02,1.11,0.74,4.08E+14,Thet Thai Road (Thetsaban Bridge 11),Khlong Bang Sakae
481,762,2562,คลองบางสะแก,ถนนเทอดไทย  ซอย 33 (วัดบางสะแกใน),28.75,7.07,0.55,0.29,20.67,74.83,19.08,7.80,3.88,0.00,1.10,0.76,4.42E+14,"Theot Thai Road, Soi 33 (Wat Bang Sakae Nai)",Khlong Bang Sakae
482,771,2562,คลองวัดอนงค์,หน้าวัดอนงค์,28.50,7.24,1.32,0.18,14.00,64.50,26.83,6.36,3.43,0.18,2.08,0.88,2.04E+12,In front of Wat Anong,Khlong Wat Anong
483,781,2562,คลองสองต้นนุ่น,หลังโรงงานปรับปรุงคุณภาพน้ำร่มเกล้า,28.58,7.07,2.98,0.00,7.33,49.17,15.92,6.63,2.89,0.17,2.18,0.86,2.02E+07,After the factory improved the quality of Romklao water,Khlong Song Ton Nun
484,782,2562,คลองสองต้นนุ่น,ซ.รามคำแหง 209,28.58,7.09,2.34,0.00,6.00,47.17,14.92,5.69,2.50,0.16,1.98,0.87,1.26E+07,Soi Ramkhamhaeng 209,Khlong Song Ton Nun
485,791,2562,คลองบางลำภูล่าง,วัดเศวตฉัตร  (คลองสาน),28.50,7.29,1.67,0.15,11.58,69.83,17.00,6.31,2.85,0.22,2.12,0.80,2.09E+12,Wat Sawetchat (Khlong San),Bang Lamphu Lang Canal
486,801,2562,คลองวัดราชา,วัดราชา,29.08,7.06,3.54,0.00,5.50,51.08,20.83,4.77,2.24,0.17,2.49,0.41,4.65E+08,Wat Racha,Wat Racha Canal
487,811,2562,คลองบุปผา,สน.บุปผาราม,29.17,7.10,1.81,0.00,9.00,55.92,21.67,6.21,3.78,0.27,2.28,0.76,8.71E+12,Buppharam Police Station,Klong Buppa
488,821,2562,คลองบางผักหนาม,ซอยจรัญฯ  41,29.33,7.06,1.20,0.28,14.67,60.92,11.58,6.58,4.34,0.23,1.73,0.94,2.05E+14,Soi Charan 41,Khlong Bang Phaknam
489,831,2562,คลองบางบัวหรุ,ซอยจรัญฯ  45,29.33,7.08,0.28,0.34,16.67,66.25,7.75,7.23,4.12,0.17,1.57,0.78,2.02E+14,Soi Charan 45,Khlong Bang Bua Ru
490,841,2562,คลองควาย,ถนนพุทธมณฑลสาย  2,29.08,7.07,2.88,0.00,5.25,48.33,21.67,2.97,1.05,0.21,1.48,0.19,5.28E+06,Phutthamonthon Sai 2 Road,Khlong Khwai
491,851,2562,คลองบัว,ถนนสวนผัก  46,29.08,7.04,2.93,0.00,5.08,50.42,15.75,3.25,0.88,0.23,1.49,0.33,1.31E+07,Suan Phak Road 46,Khlong Bua
492,861,2562,คลองเจ็ก,ถนนสุขาภิบาล 3 ซ.รามคำแห่ง 149,28.58,7.11,2.99,0.00,8.08,49.08,23.33,7.98,4.57,0.12,1.73,1.20,1.65E+09,"Sukhapiban Road 3, Soi Ramkhamhaeng 149",Khlong Chek
493,871,2562,คลองหลอแหล,ถนนสุขาภิบาล 3 ซ.รามคำแห่ง 157/3,28.58,7.21,2.36,0.00,7.92,52.33,13.00,8.59,5.48,0.05,1.68,1.23,2.70E+10,"Sukhapiban Road 3, Soi Ramkhamhaeng 157/3",Khlong Lo Lae
494,872,2562,คลองหลอแหล,ถนนสุขาภิบาล 3 ซ.รามคำแห่ง 162,28.58,7.21,2.04,0.13,9.00,55.75,12.17,7.67,3.98,0.11,1.68,1.13,1.45E+10,"Sukhapiban Road 3, Soi Ramkhamhaeng 162",Khlong Lo Lae
495,873,2562,คลองหลอแหล,ถนนสุขาภิบาล ตลาดสด ชีรอ,28.58,7.25,2.02,0.19,9.25,51.33,12.17,7.41,4.31,0.08,1.68,1.25,9.47E+09,"Sukhaphiban Road, Fresh Market, Chiro",Khlong Lo Lae
496,881,2562,คลองบางชัน,ถนนสุขาภิบาล 3 ตรงข้ามธาราการ์เด้น,28.58,7.27,1.95,0.00,7.17,55.75,14.75,7.65,3.10,0.12,1.67,0.96,1.32E+12,"Sukhaphiban 3 Road, opposite Thara Garden",Khlong Bang Chan
497,891,2562,คลองลาดบัวขาว,ถนนราษฎร์พัฒนา รร.สุเหร่าลาดบัวขาว,28.50,7.32,3.11,0.00,7.92,53.08,13.08,7.65,3.77,0.14,1.66,1.00,2.19E+10,Rat Phatthana Road Mosura Lat Buakhao School,Khlong Lat Bua Khao
498,892,2562,คลองลาดบัวขาว,วัดลาดบัวขาว,28.50,7.33,2.33,0.05,8.67,56.92,14.00,8.00,3.33,0.13,1.83,1.46,1.70E+10,Wat Lat Bua Khao,Khlong Lat Bua Khao
499,901,2562,คลองลำนายโส,ถนนราษฎร์พัฒนา รร.สุเหร่าลำนายโส,28.50,7.42,3.17,0.00,7.25,46.83,15.92,7.12,3.19,0.09,1.86,1.25,2.64E+08,Rat Phatthana Road Lam Nai So Mosque School,Lam Nai So Canal
500,902,2562,คลองลำนายโส,วัดปากบึง,28.50,7.43,3.38,0.00,7.58,49.17,16.00,7.43,3.86,0.09,1.89,0.88,3.81E+08,Pak Bueng Temple,Lam Nai So Canal
501,911,2562,คลองบึงขวาง,ถนนร่มเกล้า ชุมชนพัฒนาบึงบัว,28.50,7.47,3.52,0.00,7.92,51.17,25.08,5.84,2.41,0.09,1.91,0.90,3.06E+07,"Romklao Road, Bueng Bua Phatthana Community",Khlong Bueng Khwang
502,921,2562,คลองทรายกองดิน,ถนนราษฎร์อุทิศ สุเหร่าทรายกองดิน,29.50,7.18,3.03,0.00,5.42,39.50,33.08,6.03,2.51,0.12,1.89,0.78,4.85E+05,Rat Uthit Road Sai Kong Din Mosque,Khlong Sai Kong Din
503,941,2562,คลองลำหิน,ถ.คู่คลองสิบ สะพานข้ามคลอง,29.58,7.10,3.00,0.00,4.92,43.67,47.00,4.08,1.56,0.06,1.73,0.32,9.21E+05,"Khlong Sip Road, bridge over the canal",Khlong Lam Hin
504,951,2562,คลองลำหินฝั่งใต้,ถนนเลียบวารี สะพานคลองลำหินฝั่งใต้,29.58,7.08,2.99,0.00,5.42,40.00,38.42,4.58,2.08,0.10,1.63,0.27,2.13E+07,"Along Waree Road, Khlong Lam Hin Bridge, southern side",Khlong Lam Hin Fang Tai
505,961,2562,คลองสิบเอ็ด,ถนนคลองสิบ คลองสิบเอ็ด ,29.58,7.18,2.96,0.00,4.67,39.25,32.17,3.61,1.36,0.07,1.78,0.23,4.47E+05,"Khlong Sip Road, Khlong Sip Sip Road ",Khlong Sip Sip
506,971,2562,คลองหวังโต,ถนนมิตรไมตรี ชุมชนหนองจอก,29.58,7.17,2.19,0.05,6.25,43.67,26.08,6.51,2.05,0.10,1.78,0.42,4.75E+06,"Mitmaitri Road, Nong Chok Community",Wang To Canal
507,981,2562,คลองบึงแตงโม,ถนนมิตรไมตรี หมู่บ้าน เค.ซี.การ์เด้น,29.58,7.07,3.56,0.00,3.92,47.75,35.58,3.26,1.47,0.05,1.90,0.22,2.17E+06,"Mitmaitri Road, K.C. Garden Village",Khlong Bueng Taeng Mo
508,991,2562,คลองลำต้นกล้วย,ถนนมิตรไมตรี ก่อนถึงสามแยก รพ.หนองจอก,29.58,7.21,2.73,0.00,4.33,43.17,26.08,2.98,0.95,0.04,1.31,0.23,3.69E+06,"Mitmaitri Road, before reaching the Nong Chok Hospital intersection.",Banana trunk canal
509,1001,2562,คลองลำผักชี,ถนนสุวินทวงศ์ สถานีย่อยสุวินทวงศ์ กฟน.,29.00,7.03,2.18,0.00,5.58,46.67,24.92,4.68,1.54,0.22,1.53,0.33,1.52E+06,"Suwinthawong Road Suwinthawong Substation, MEA",Lam Phak Chi Canal
510,1002,2562,คลองลำผักชี,ถนนฉลองกรุง หมู่บ้านฉลองกรุงริเวอร์วิว,29.00,7.10,2.20,0.00,5.42,42.33,28.75,4.43,1.63,0.20,1.58,0.40,1.33E+06,"Chalong Krung Road, Chalong Krung Riverview Village",Lam Phak Chi Canal
511,1021,2562,คลองลำปลาเน่า,ถนนฉลองกรุง จดกลับรถใต้สะพานข้ามคลอง,29.00,7.10,1.10,0.08,9.08,58.08,13.50,5.35,1.23,0.13,2.23,1.06,2.03E+08,"Chalong Krung Road, make a U-turn under the bridge over the canal.",Rotten Lam Pla Canal
512,1031,2562,คลองส้มป่อย,สะพานพระราม 6 สถานีเฝ้าระวัง,29.08,7.12,3.12,0.01,5.17,47.75,16.17,3.96,1.21,0.14,2.35,0.30,9.59E+07,Rama 6 Bridge Surveillance Station,Khlong Sompoi
513,1041,2562,คลองซุง,ใต้สะพานพระราม 6 ข.ทางรถไฟบางซ่อน,29.08,7.14,2.79,0.13,7.25,49.00,14.75,5.64,2.07,0.09,2.05,0.41,1.48E+08,"Under Rama 6 Bridge, Bang Son Railway",Khlong Sung
514,1051,2562,คลองบางซ่อน,ถนนประชาราษฏร์สาย 1 ซอย 34-36,29.08,7.17,1.23,0.35,16.75,65.83,12.33,9.76,5.95,0.06,1.82,1.12,3.66E+12,"Pracharat Sai 1 Road, Soi 34-36",Khlong Bang Son
515,1061,2562,คลองสาธารณะประโยชน์,ถนนประชาราษฎร์สาย 1 ใกล้ซอย 21,29.08,7.18,1.92,0.12,7.92,61.92,15.33,3.97,2.04,0.13,1.85,0.63,8.56E+09,"Pracharat Sai 1 Road, near Soi 21",Public canal
516,1071,2562,คลองบึง,หน้าสำนักงานเขตสวนหลวง,28.83,7.05,0.63,0.97,22.08,68.83,14.08,13.16,7.60,0.09,1.92,1.63,1.20E+13,In front of the Suan Luang District Office,Khlong Bueng
517,1081,2562,คลองสองห้อง,ถนนอ่อนนุชใกล้ซอย 61,28.83,6.96,0.00,1.41,34.00,96.92,11.83,19.07,11.65,0.03,2.56,1.74,1.08E+14,On Nut Road near Soi 61,Khlong Song Hong
518,1082,2562,คลองสองห้อง,ถนนเฉลิมพระเกียรติ ร.9,28.83,7.05,0.30,0.16,11.83,52.42,8.08,9.15,5.28,0.11,1.58,0.97,7.31E+13,Chaloem Phrakiat Rama 9 Road,Khlong Song Hong
519,1083,2562,คลองสองห้อง,หน้าโรงขยะอ่อนนุข,28.83,7.10,0.13,1.03,31.83,93.25,30.75,20.72,13.20,0.02,2.57,1.65,1.78E+14,In front of On Nut Garbage Plant,Khlong Song Hong
520,1091,2562,คลองวัดกระทุ่มเสือปลา,ถนนอ่อนนุชซอย 67 วัดกระทุ่มเสือปลา,28.83,7.55,0.36,0.97,17.58,71.08,7.50,12.56,7.52,0.04,2.88,0.89,2.00E+14,"On Nut Road, Soi 67, Wat Krathum Suea Pla",Khlong Wat Krathum Suea Pla
521,1101,2562,คลองตะเข้ขบ,ถนนเฉลิมพระเกียรติ ร.9 ซอย 79,28.83,7.42,1.05,0.45,8.42,45.67,6.50,7.15,3.94,0.09,1.23,0.65,4.72E+10,"Chaloem Phrakiat Road, Rama 9, Soi 79",Khlong Takhe Khob
522,1102,2562,คลองตะเข้ขบ,ถนนลาดกระบัง ใต้ทางด่วน,28.83,7.32,1.43,0.11,8.83,52.33,11.83,9.01,5.57,0.12,2.03,1.19,2.02E+11,"Lat Krabang Road, under the expressway",Khlong Takhe Khob
523,1111,2562,คลองปลัดเปรียง,ถนนเฉลิมพระเกีตรติ ร.9 มัสยิดซะห์ฯ,29.42,7.08,0.00,0.32,13.92,64.17,11.75,11.76,6.22,0.02,2.13,1.08,5.74E+12,"Chaloem Phrakiat Rama 9 Road, Sah Mosque",Khlong Palad Priang
524,1112,2562,คลองปลัดเปรียง,ทางลัดเข้าซอยร่มเย็น,29.42,7.18,0.13,0.29,14.83,64.17,10.42,12.53,8.00,0.01,2.06,1.30,2.01E+15,Shortcut to Soi Rom Yen,Khlong Palad Priang
525,1121,2562,คลองมะขามเทศ,ถนนเฉลิมพระเกียรติ ร.9 ซอย 51,29.42,7.15,0.70,0.10,10.92,56.83,21.58,12.27,5.86,0.02,2.00,1.34,2.00E+15,"Chaloem Phrakiat Road, Rama 9, Soi 51",Makhamthet Canal
526,1131,2562,คลองหนองบอน,ถนนเฉลิมพระเกียรติ ร.9 ซอย 26,29.42,7.24,0.43,0.41,16.92,70.25,13.58,12.28,8.51,0.00,1.90,1.32,2.01E+15,"Chaloem Phrakiat Road, Rama 9, Soi 26",Khlong Nong Bon
527,1141,2562,คลองตาช้าง,สถานีสูบน้ำคลองตาช้าง ถนนศรีนครินทร์,29.42,7.33,0.04,0.38,17.75,69.42,10.25,12.35,6.84,0.00,1.89,1.10,2.23E+15,Khlong Ta Chang Pumping Station Srinakarin Road,Khlong Ta Chang
528,1151,2562,คลองสาด,ประตุระบายน้ำคลองสาด ถ.ศรีนครินทร์,29.42,7.26,0.00,0.88,17.92,70.17,10.33,11.95,7.40,0.00,1.88,1.34,2.13E+15,Khlong Sad drainage gate Srinakarin Rd.,Khlong Sad
529,1161,2562,คลองบ้านม้า,ถนนศรีนครินทร์,29.42,7.36,2.38,0.00,10.83,57.25,15.75,10.41,4.87,0.05,1.86,1.33,1.04E+12,Srinakarin Road,Khlong Ban Ma
530,1171,2562,คลองหัวหมาก,ถนนอ่อนนุข,28.83,7.33,2.97,0.07,14.42,73.33,20.67,10.21,5.93,0.10,2.01,1.17,9.33E+13,On Nut Road,Khlong Hua Mak
531,1181,2562,คลองตาพุก,ถนนลาดกระบัง ใกล้ซอย 4,29.00,7.08,2.53,0.05,10.83,61.25,22.17,8.16,4.82,0.29,2.78,1.11,1.60E+12,"Lat Krabang Road, near Soi 4",Khlong Ta Phuk
532,1191,2562,คลองบัวลอย,ถนนลาดกระบัง ใกล้ซอย 22,29.00,7.17,0.00,1.56,31.67,98.75,65.58,15.73,9.21,0.03,3.57,1.81,2.25E+14,"Lat Krabang Road, near Soi 22",Khlong Bua Loi
533,1201,2562,คลองลาดกระบัง,ถนนลาดกระบัง วัดลาดกระบัง,29.00,7.26,2.88,0.00,7.25,51.33,20.58,7.20,2.76,0.12,2.20,1.14,3.43E+09,"Lat Krabang Road, Lat Krabang Temple",Lat Krabang Canal
534,1211,2562,คลองหนองตะกร้า,ถนนลาดกระบัง ใกล้ซอย 40,29.00,7.30,3.11,0.04,9.33,52.83,26.50,7.60,3.21,0.18,2.45,1.42,7.55E+09,"Lat Krabang Road, near Soi 40",Khlong Nong Kratat
535,1221,2562,คลองหนองคา,หมู่บ้านมณสินี,29.00,7.25,1.08,1.07,20.83,72.83,17.75,10.78,6.51,0.06,2.30,1.38,3.64E+10,Mansini Village,Nong Kha Canal
536,1231,2562,คลองหนองปรือ,สวนถระนคร ,29.00,7.19,0.29,0.61,40.42,103.75,18.83,19.57,12.05,0.07,2.61,1.88,7.62E+14,Suan Tharanakhon ,Nong Prue Canal
537,1241,2562,คลองหัวตะเข้,ถนนลาดกระบัง ใกล้ซอย 17,29.00,7.22,1.53,0.08,12.58,60.50,20.75,8.23,4.08,0.12,1.95,0.95,2.21E+14,"Lat Krabang Road, near Soi 17",Khlong Hua Takhe
538,1251,2562,คลองบึงบัว,ติดถนนเจ้าคุณทหาร,29.00,7.12,2.64,0.00,5.75,52.00,17.17,7.18,3.83,0.25,5.11,0.43,1.86E+09,Next to Chao Khun Thahan Road,Bueng Bua Canal
539,1261,2562,คลองลำชวดเตย,ตัดถนนฉลองกรุง ใกล้หมู่บ้านวรีย์เฮ้าส์,29.00,7.18,1.06,0.66,18.17,76.58,15.33,12.28,7.64,0.21,4.13,0.88,2.06E+12,Cutting Chalong Krung Road Near Waree House Village,Lam Chuat Toei Canal
540,1271,2562,คลองลำกอไผ่,ตัดถนนฉลองกรุง  ,29.00,7.31,2.22,0.01,7.08,48.58,22.75,5.43,2.59,0.24,2.21,0.56,5.64E+07,Cutting Chalong Krung Road  ,Khlong Lam Ko Phai
541,1281,2562,คลองบัว,โรงเรียนบ้านคลองบัว ถนนสุขาภิบาล 5,30.00,7.01,0.00,0.84,29.92,83.25,12.83,16.24,10.09,0.02,2.51,1.40,5.78E+14,"Ban Khlong Bua School, Sukhaphiban 5 Road",Khlong Bua
542,1291,2562,คลองจรเข้,ถ.วัชรพล(ข้างร้านไก่ย่างจักราช ใต้ทางด่วน),30.00,7.05,0.00,1.29,44.25,103.00,52.92,29.03,18.94,0.00,2.82,1.84,2.53E+15,"Watcharaphon Rd. (next to Chakrat Grilled Chicken Shop, under the expressway)",Khlong Chorakhe
543,1301,2562,คลองออเงิน,ตัด ถ.สุขาภิบาล 5 สะพานระหว่างซอยสายไหม 58-60,30.00,7.13,2.53,0.30,9.92,56.08,83.33,9.74,6.17,0.07,1.93,1.08,2.63E+11,"Cut Sukhaphiban 5 Road, bridge between Soi Sai Mai 58-60",Khlong Or Ngoen
544,1302,2562,คลองออเงิน,หมู่บ้านมายด์เพลส,30.00,7.17,1.30,0.18,11.92,55.58,9.33,8.82,6.39,0.09,1.67,0.78,3.93E+11,Mind Place Village,Khlong Or Ngoen
545,1303,2562,คลองออเงิน,โรงเรียนศิริวัฒน์วิทยา,30.00,7.21,1.92,0.31,14.50,62.08,16.58,9.68,6.41,0.03,1.98,0.95,3.19E+09,Siriwat Wittaya School,Khlong Or Ngoen
546,1321,2562,คลองสอง,ซ.วัดเกาะ สามแยก รร.ระเบียบวิทยา,30.00,7.27,2.53,0.04,8.75,49.92,33.08,9.72,5.33,0.06,1.51,0.95,3.10E+08,"Soi Wat Ko, Sam Yaek, Raababwittaya School",Khlong Song
547,1331,2562,คลองบางอ้อ,ถ.รถไฟสายเก่า คลังน้ำมันบางจาก,29.17,7.12,0.18,0.28,18.50,68.83,15.58,12.63,7.21,0.10,1.58,1.01,2.33E+14,Old Train Road Bangchak Oil Depot,Khlong Bang O
548,1341,2562,คลองเจ็ก,ถ.รถไฟสายเก่า แฟลตเอื้ออมรสุข,29.17,7.24,0.00,0.48,20.00,67.67,23.00,14.52,8.54,0.05,1.83,1.39,3.73E+14,Old Train Road Eua Amornsuk Flat,Khlong Chek
549,1351,2562,คลองบ้านหลาย,ถ.อ่อนนุช,29.17,7.29,0.00,0.93,21.00,76.50,9.67,14.60,8.97,0.05,1.82,1.43,3.75E+14,On Nut Rd.,Khlong Ban Lai
